id,refcode,type,fulltext,address,author,booktitle,comment,edition,editor,journal,month,note,number,pages,publisher,school,title,url,volume,year
1,hc75,book,"Hamel, Paul B. and Mary U. Chiltoskey, 1975, Cherokee Plants and Their Uses -- A 400 Year History, Sylva, N.C. Herald Publishing Co.","Sylva, N.C.","Hamel, Paul B. and Mary U. Chiltoskey",,,,,,,,,,"Herald Publishing Co",,"Cherokee Plants and Their Uses -- A 400 Year History",,,1975
2,ws85,book,"Weber, Steven A. and P. David Seaman, 1985, Havasupai Habitat: A. F. Whiting's Ethnography of a Traditional Indian Culture, Tucson. The University of Arizona Press",Tucson,"Weber, Steven A. and P. David Seaman",,,,,,,,,,"The University of Arizona Press",,"Havasupai Habitat: A.F. Whiting's Ethnography of a Traditional Indian Culture",,,1985
3,g83,phdthesis,"Gill, Steven J., 1983, Ethnobotany of the Makah and Ozette People, Olympic Peninsula, Washington (USA), Washington State University, Ph.D. Thesis",,"Gill, Steven J.",,,,,,,,,,,"Washington State University","Ethnobotany of the Makah and Ozette People",,,1983
4,d28,article,"Densmore, Frances, 1928, Uses of Plants by the Chippewa Indians, SI-BAE Annual Report #44:273-379",,"Densmore, Frances",,,,,"SI-BAE Annual Report",,,,273-379,,,"Uses of Plants by the Chippewa Indians",,44,1928
5,r54,book,"Romero, John Bruno, 1954, The Botanical Lore of the California Indians, New York. Vantage Press, Inc.","New York","Romero, John Bruno",,,,,,,,,,"Vantage Press, Inc",,"The Botanical Lore of the California Indians",,,1954
6,s15,article,"Stevenson, Matilda Coxe, 1915, Ethnobotany of the Zuni Indians, SI-BAE Annual Report #30",,"Stevenson, Matilda Coxe",,,,,"SI-BAE Annual Report",,,,,,,"Ethnobotany of the Zuni Indians",,30,1915
7,h77,phdthesis,"Herrick, James William, 1977, Iroquois Medical Botany, State University of New York, Albany, PhD Thesis",,"Herrick, James William",,,,,,,,,,,"State University of New York, Albany","Iroquois Medical Botany",,,1977
8,r28,article,"Reagan, Albert B., 1928, Plants Used by the Bois Fort Chippewa (Ojibwa) Indians of Minnesota, Wisconsin Archeologist 7(4):230-248",,"Reagan, Albert B.",,,,,"Wisconsin Archeologist",,,4,230-248,,,"Plants Used by the Bois Fort Chippewa (Ojibwa) Indians of Minnesota",,7,1928
9,s29,article,"Smith, Harlan I., 1929, Materia Medica of the Bella Coola and Neighboring Tribes of British Columbia, National Museum of Canada Bulletin 56:47-68",,"Smith, Harlan I.",,,,,"National Museum of Canada Bulletin",,,,47-68,,,"Materia Medica of the Bella Coola and Neighboring Tribes of British Columbia",,56,1929
10,tta90,book,"Turner, Nancy J., Laurence C. Thompson and M. Terry Thompson et al., 1990, Thompson Ethnobotany:  Knowledge and Usage of Plants by the Thompson Indians of British Columbia, Victoria. Royal British Columbia Museum",Victoria,"Turner, Nancy J. and Laurence C. Thompson and M. Terry Thompson et al.",,,,,,,,,,"Royal British Columbia Museum",,"Thompson Ethnobotany: Knowledge and Usage of Plants by the Thompson Indians of British Columbia",,,1990
11,c49,book,"Curtin, L. S. M., 1949, By the Prophet of the Earth, Sante Fe. San Vicente Foundation","Sante Fe","Curtin, L. S. M.",,,,,,,,,,"San Vicente Foundation",,"By the Prophet of the Earth: Ethnobotany of the Pima",,,1949
12,tha41,book,"Train, Percy, James R. Henrichs and W. Andrew Archer, 1941, Medicinal Uses of Plants by Indian Tribes of Nevada, Washington DC. U.S. Department of Agriculture","Washington DC","Train, Percy and James R. Henrichs and W. Andrew Archer",,,,,,,,,,"U.S. Department of Agriculture",,"Medicinal Uses of Plants by Indian Tribes of Nevada",,,1941
13,g05,article,"Grinnell, George Bird, 1905, Some Cheyenne Plant Medicines, American Anthropologist 7:37-43",,"Grinnell, George Bird",,,,,"American Anthropologist",,,,37-43,,,"Some Cheyenne Plant Medicines",,7,1905
14,c93,phdthesis,"Compton, Brian Douglas, 1993, Upper North Wakashan and Southern Tsimshian Ethnobotany: The Knowledge and Usage of Plants..., Ph.D. Dissertation, University of British Columbia",,"Compton, Brian Douglas",,,,,,,,,,,"University of British Columbia","Upper North Wakashan and Southern Tsimshian Ethnobotany: The Knowledge and Usage of Plants",,,1993
15,gil33,book,"Gilmore, Melvin R., 1933, Some Chippewa Uses of Plants, Ann Arbor. University of Michigan Press","Ann Arbor","Gilmore, Melvin R.",,,,,,,,,,"University of Michigan Press",,"Some Chippewa Uses of Plants",,,1933
16,b84,article,"Bocek, Barbara R., 1984, Ethnobotany of Costanoan Indians, California, Based on Collections by John P. Harrington, Economic Botany 38(2):240-255",,"Bocek, Barbara R.",,,,,"Economic Botany",,,2,240-255,,,"Ethnobotany of Costanoan Indians, California, Based on Collections by John P Harrington",,38,1984
17,g19,article,"Gilmore, Melvin R., 1919, Uses of Plants by the Indians of the Missouri River Region, SI-BAE Annual Report #33",,"Gilmore, Melvin R.",,,,,"SI-BAE Annual Report",,,,,,,"Uses of Plants by the Indians of the Missouri River Region",,33,1919
18,v52,article,"Vestal, Paul A., 1952, The Ethnobotany of the Ramah Navaho, Papers of the Peabody Museum of American Archaeology and Ethnology 40(4):1-94",,"Vestal, Paul A.",,,,,"Papers of the Peabody Museum of American Archaeology and Ethnology",,,4,1-94,,,"The Ethnobotany of the Ramah Navaho",,40,1952
19,c35,article,"Castetter, Edward F., 1935, Ethnobiological Studies in the American Southwest I.  Uncultivated Native Plants Used as Sources of Food, University of New Mexico Bulletin 4(1):1-44",,"Castetter, Edward F.",,,,,"University of New Mexico Bulletin",,,1,1-44,,,"Ethnobiological Studies in the American Southwest 1, Uncultivated Native Plants Used as Sources of Food",https://digitalrepository.unm.edu/unm_bulletin/23/,4,1935
20,smith32,article,"Smith, Huron H., 1932, Ethnobotany of the Ojibwe Indians, Bulletin of the Public Museum of Milwaukee 4:327-525",,"Smith, Huron H.",,,,,"Bulletin of the Public Museum of Milwaukee",,,,327-525,,,"Ethnobotany of the Ojibwe Indians",,4,1932
21,smith28,article,"Smith, Huron H., 1928, Ethnobotany of the Meskwaki Indians, Bulletin of the Public Museum of the City of Milwaukee 4:175-326",,"Smith, Huron H.",,,,,"Bulletin of the Public Museum of the City of Milwaukee",,,,175-326,,,"Ethnobotany of the Meskwaki Indians",,4,1928
22,t42,book,"Tantaquidgeon, Gladys, 1942, A Study of Delaware Indian Medicine Practice and Folk Beliefs, Harrisburg. Pennsylvania Historical Commission",Harrisburg,"Tantaquidgeon, Gladys",,,,,,,,,,"Pennsylvania Historical Commission",,"A Study of Delaware Indian Medicine Practice and Folk Beliefs",,,1942
23,tb71,article,"Turner, Nancy Chapman and Marcus A. M. Bell, 1971, The Ethnobotany of the Coast Salish Indians of Vancouver Island, I and II, Economic Botany 25(1):63-104, 335-339",,"Turner, Nancy Chapman and Marcus A. M. Bell",,,,,"Economic Botany",,,1,"63-104, 335-339",,,"The Ethnobotany of the Coast Salish Indians of Vancouver Island I and II",https://doi.org/10.1007/BF02894564,25,1971
24,s08,article,"Sparkman, Philip S., 1908, The Culture of the Luiseno Indians, University of California Publications in American Archaeology and Ethnology 8(4):187-234",,"Sparkman, Philip S.",,,,,"University of California Publications in American Archaeology and Ethnology",,,4,187-234,,,"The Culture of the Luiseno Indians",,8,1908
25,g73,book,"Gunther, Erna, 1973, Ethnobotany of Western Washington, Seattle. University of Washington Press. Revised edition",Washington,"Gunther, Erna",,,Revised,,,,,,,"University of Press",,"Ethnobotany of Western Washington, Seattle",,,1973
26,h74,book,"Hellson, John C., 1974, Ethnobotany of the Blackfoot Indians, Ottawa. National Museums of Canada. Mercury Series",Ottawa,"Hellson, John C.",,,,,,,,,,"National Museums of Canada. Mercury Series",,"Ethnobotany of the Blackfoot Indians",,,1974
27,cu35,article,"Castetter, Edward F. and Ruth M. Underhill, 1935, Ethnobiological Studies in the American Southwest II. The Ethnobiology of the Papago Indians, University of New Mexico Bulletin 4(3):1-84",,"Castetter, Edward F. and Ruth M. Underhill",,,,,"University of New Mexico Bulletin",,,3,1-84,,,"Ethnobiological Studies in the American Southwest II: The Ethnobiology of the Papago Indians",,4,1935
28,c30,phdthesis,"Cook, Sarah Louise, 1930, The Ethnobotany of Jemez Indians., University of New Mexico, M.A. Thesis",,"Cook, Sarah Louise",,,,,,,,,,,"University of New Mexico","The Ethnobotany of Jemez Indians",,,1930
29,d44,article,"Dawson, E. Yale, 1944, Some Ethnobotanical Notes on the Seri Indians, Desert Plant Life 9:133-138",,"Dawson, E. Yale",,,,,"Desert Plant Life",,,,133-138,,,"Some Ethnobotanical Notes on the Seri Indians",,9,1944
30,h92,book,"Hart, Jeff, 1992, Montana Native Plants and Early Peoples, Helena. Montana Historical Society Press",Helena,"Hart, Jeff",,,,,,,,,,"Montana Historical Society Press",,"Montana Native Plants and Early Peoples",,,1992
31,bs72,book,"Bean, Lowell John and Katherine Siva Saubel, 1972, Temalpakh (From the Earth); Cahuilla Indian Knowledge and Usage of Plants, Banning, CA. Malki Museum Press","Banning, CA","Bean, Lowell John and Katherine Siva Saubel",,,,,,,,,,"Malki Museum Press",,"Temalpakh (From the Earth); Cahuilla Indian Knowledge and Usage of Plants",,,1972
32,tbk80,book,"Turner, Nancy J., R. Bouchard and Dorothy I.D. Kennedy, 1980, Ethnobotany of the Okanagan-Colville Indians of British Columbia and Washington, Victoria. British Columbia Provincial Museum",Victoria,"Turner, Nancy J. and R. Bouchard and Dorothy I. D. Kennedy",,,,,,,,,,"British Columbia Provincial Museum",,"Ethnobotany of the Okanagan-Colville Indians of British Columbia and Washington",,,1980
33,steed28,article,"Steedman, E.V., 1928, The Ethnobotany of the Thompson Indians of British Columbia, SI-BAE Annual Report #45:441-522",,"Steedman, E. V.",,,,,"SI-BAE Annual Report",,,,441-522,,,"The Ethnobotany of the Thompson Indians of British Columbia",,45,1928
34,h49,article,"Hocking, George M., 1949, From Pokeroot to Penicillin, The Rocky Mountain Druggist, November 1949.  Pages 12, 38.",,"Hocking, George M.",,,,,"The Rocky Mountain Druggist",November,,,"12,38",,,"From Pokeroot to Penicillin",,,1949
35,cfh79,article,"Chandler, R. Frank, Lois Freeman and Shirley N. Hooper, 1979, Herbal Remedies of the Maritime Indians, Journal of Ethnopharmacology 1:49-68",,"Chandler, R. Frank and Lois Freeman and Shirley N. Hooper",,,,,"Journal of Ethnopharmacology",,,,49-68,,,"Herbal Remedies of the Maritime Indians",,1,1979
36,k85,book,"Kari, Priscilla Russe, 1985, Upper Tanana Ethnobotany, Anchorage. Alaska Historical Commission",Anchorage,"Kari, Priscilla Russe",,,,,,,,,,"Alaska Historical Commission",,"Upper Tanana Ethnobotany",,,1985
37,w39,article,"Whiting, Alfred F., 1939, Ethnobotany of the Hopi, Museum of Northern Arizona Bulletin #15",,"Whiting, Alfred F.",,,,,"Museum of Northern Arizona Bulletin",,,,,,,"Ethnobotany of the Hopi",,15,1939
38,c11,article,"Chamberlin, Ralph V., 1911, The Ethno-Botany of the Gosiute Indians of Utah, Memoirs of the American Anthropological Association 2(5):331-405.",,"Chamberlin, Ralph V.",,,,,"Memoirs of the American Anthropological Association",,,5,331-405,,,"The Ethno-Botany of the Gosiute Indians of Utah",,2,1911
39,g72,book,"Grinnell, George Bird, 1972, The Cheyenne Indians - Their History and Ways of Life Vol.2, Lincoln. University of Nebraska Press",Lincoln,"Grinnell, George Bird",,,,,,,,,,"University of Nebraska Press",,"The Cheyenne Indians - Their History and Ways of Life Vol.2",,,1972
40,gl80,book,"Goodrich, Jennie and Claudia Lawson, 1980, Kashaya Pomo Plants, Los Angeles. American Indian Studies Center, University of California, Los Angeles","University of California, Los Angeles","Goodrich, Jennie and Claudia Lawson",,,,,,,,,,"American Indian Studies Center",,"Kashaya Pomo Plants, Los Angeles",,,1980
41,te82,book,"Turner, Nancy J. and Barbara S. Efrat, 1982, Ethnobotany of the Hesquiat Indians of Vancouver Island, Victoria. British Columbia Provincial Museum",Victoria,"Turner, Nancy J. and Barbara S. Efrat",,,,,,,,,,"British Columbia Provincial Museum",,"Ethnobotany of the Hesquiat Indians of Vancouver Island",,,1982
42,m09,article,"McClintock, Walter, 1909, Medizinal- Und Nutzpflanzen Der Schwarzfuss Indianer, Zeitschriff fur Ethnologie 41:273-9",,"McClintock, Walter",,,,,"Zeitschriff fur Ethnologie",,,,273-9,,,"Medizinal- Und Nutzpflanzen Der Schwarzfuss Indianer",,41,1909
43,smith33,article,"Smith, Huron H., 1933, Ethnobotany of the Forest Potawatomi Indians, Bulletin of the Public Museum of the City of Milwaukee 7:1-230",,"Smith, Huron H.",,,,,"Bulletin of the Public Museum of the City of Milwaukee",,,,1-230,,,"Ethnobotany of the Forest Potawatomi Indians",,7,1933
44,r32,article,"Ray, Verne F., 1932, The Sanpoil and Nespelem:  Salishan Peoples of Northeastern Washington, University of Washington Publications in Anthropology, Vol. 5",,"Ray, Verne F.",,,,,"University of Washington Publications in Anthropology",,,,,,,"The Sanpoil and Nespelem: Salishan Peoples of Northeastern Washington",,5,1932
45,r29,article,"Reagan, Albert B., 1929, Plants Used by the White Mountain Apache Indians of Arizona, Wisconsin Archeologist 8:143-61.",,"Reagan, Albert B.",,,,,"Wisconsin Archeologist",,,,143-61,,,"Plants Used by the White Mountain Apache Indians of Arizona",,8,1929
46,c57i,article,"Curtin, L. S. M., 1957, Some Plants Used by the Yuki Indians ... I. Historical Review and Medicinal Plants, The Masterkey 31:40-48",,"Curtin, L. S. M.",,,,,"The Masterkey",,,,40-48,,,"Some Plants Used by the Yuki Indians ... I. Historical Review and Medicinal Plants",,31,1957
47,l85,book,"Leighton, Anna L., 1985, Wild Plant Use by the Woods Cree (Nihithawak) of East-Central Saskatchewan, Ottawa. National Museums of Canada. Mercury Series",Ottawa,"Leighton, Anna L.",,,,,,,"Mercury Series",,,"National Museums of Canada",,"Wild Plant Use by the Woods Cree (Nihithawak) of East-Central Saskatchewan",,,1985
48,g36,article,"Gifford, E. W., 1936, Northeastern and Western Yavapai, University of California Publications in American Archaeology and Ethnology 34:247-345",,"Gifford, E. W.",,,,,"University of California Publications in American Archaeology and Ethnology",,,,247-345,,,"Northeastern and Western Yavapai",,34,1936
49,speck41,article,"Speck, Frank G., 1941, A List of Plant Curatives Obtained From the Houma Indians of Louisiana, Primitive Man 14:49-75",,"Speck, Frank G.",,,,,"Primitive Man",,,,49-75,,,"A List of Plant Curatives Obtained From the Houma Indians of Louisiana",,14,1941
50,f89,book,"Fowler, Catherine S., 1989, Willards Z. Park's Ethnographic Notes on the Northern Paiute of Western Nevada 1933-1940, Salt Lake City. University of Utah Press","Salt Lake City","Fowler, Catherine S.",,,,,,,,,,"University of Utah Press",,"Willards Z. Park's Ethnographic Notes on the Northern Paiute of Western Nevada 1933-1940",,,1989
51,s23,article,"Smith, Huron H., 1923, Ethnobotany of the Menomini Indians, Bulletin of the Public Museum of the City of Milwaukee 4:1-174",,"Smith, Huron H.",,,,,"Bulletin of the Public Museum of the City of Milwaukee",,,,1-174,,,"Ethnobotany of the Menomini Indians",,4,1923
52,b74,book,"Basehart, Harry W., 1974, Apache Indians XII. Mescalero Apache Subsistence Patterns and Socio-Political Organization, New York. Garland Publishing Inc.","New York","Basehart, Harry W.",,,,,,,,,,"Garland Publishing Inc",,"Apache Indians XII. Mescalero Apache Subsistence Patterns and Socio-Political Organization",,,1974
53,t73,article,"Turner, Nancy J., 1973, The Ethnobotany of the Bella Coola Indians of British Columbia, Syesis 6:193-220",,"Turner, Nancy J.",,,,,Syesis,,,,193-220,,,"The Ethnobotany of the Bella Coola Indians of British Columbia",,6,1973
54,j83,book,"Jones, Anore, 1983, Nauriat Niginaqtuat = Plants That We Eat, Kotzebue, Alaska.  Maniilaq Association Traditional Nutrition Program","Kotzebue, Alaska","Jones, Anore",,,,,,,,,,"Maniilaq Association Traditional Nutrition Program",,"Nauriat Niginaqtuat = Plants That We Eat",,,1983
55,p52,article,"Perry, F., 1952, Ethno-Botany of the Indians in the Interior of British Columbia, Museum and Art Notes 2(2):36-43.",,"Perry, F.",,,,,"Museum and Art Notes",,,2,36-43,,,"Ethno-Botany of the Indians in the Interior of British Columbia",,2,1952
56,h91,article,"Hoffman, W.J., 1891, The Midewiwin or 'Grand Medicine Society' of the Ojibwa, SI-BAE Annual Report #7",,"Hoffman, W. J.",,,,,"SI-BAE Annual Report",,,,,,,"The Midewiwin or 'Grand Medicine Society' of the Ojibwa",,7,1891
57,h81,article,"Hart, Jeffrey A., 1981, The Ethnobotany of the Northern Cheyenne Indians of Montana, Journal of Ethnopharmacology 4:1-55",,"Hart, Jeffrey A.",,,,,"Journal of Ethnopharmacology",,,,1-55,,,"The Ethnobotany of the Northern Cheyenne Indians of Montana",,4,1981
58,bc41,article,"Bell, Willis H and Edward F. Castetter, 1941, Ethnobiological Studies in the Southwest VII.  The Utilization of of Yucca, Sotol and Beargrass by the Aborigines in the American Southwest, University of New Mexico Bulletin 5(5):1-74",,"Bell, Willis H. and Edward F. Castetter",,,,,"University of New Mexico Bulletin",,,5,1-74,,,"Ethnobiological Studies in the Southwest VII. The Utilization of of Yucca, Sotol and Beargrass by the Aborigines in the American Southwest.",,5,1941
59,r45ii,article,"Rousseau, Jacques, 1945, Le Folklore Botanique De Caughnawaga, Contributions de l'Institut botanique l'Universite de Montreal 55:7-72",,"Rousseau, Jacques",,,,,"Contributions de l'Institut botanique l'Universite de Montreal",,,,7-72,,,"Le Folklore Botanique De Caughnawaga",,55,1945
60,z81,book,"Zigmond, Maurice L., 1981, Kawaiisu Ethnobotany, Salt Lake City. University of Utah Press","Salt Lake City","Zigmond, Maurice L.",,,,,,,,,,"University of Utah Press",,"Kawaiisu Ethnobotany",,,1981
61,rhf16,article,"Robbins, W.W., J.P. Harrington and B. Freire-Marreco, 1916, Ethnobotany of the Tewa Indians, SI-BAE Bulletin #55",,"Robbins, W. W. and J. P. Harrington and B. Freire-Marreco",,,,,"SI-BAE Bulletin",,,,,,,"Ethnobotany of the Tewa Indians",,55,1916
62,cw45,article,"Carr, Lloyd G. and Carlos Westey, 1945, Surviving Folktales & Herbal Lore Among the Shinnecock Indians, Journal of American Folklore 58:113-123",,"Carr, Lloyd G. and Carlos Westey",,,,,"Journal of American Folklore",,,,113-123,,,"Surviving Folktales & Herbal Lore Among the Shinnecock Indians",,58,1945
63,tb73,article,"Turner, Nancy Chapman and Marcus A. M. Bell, 1973, The Ethnobotany of the Southern Kwakiutl Indians of British Columbia, Economic Botany 27:257-310",,"Turner, Nancy Chapman and Marcus A. M. Bell",,,,,"Economic Botany",,,,257-310,,,"The Ethnobotany of the Southern Kwakiutl Indians of British Columbia",,27,1973
64,w78,article,"Wilson, Michael R., 1978, Notes on Ethnobotany in Inuktitut, The Western Canadian Journal of Anthropology 8:180-196",,"Wilson, Michael R.",,,,,"The Western Canadian Journal of Anthropology",,,,180-196,,,"Notes on Ethnobotany in Inuktitut",,8,1978
65,stew33,article,"Steward, Julian H., 1933, Ethnography of the Owens Valley Paiute, University of California Publications in American Archaeology and Ethnology 33(3):233-250",,"Steward, Julian H.",,,,,"University of California Publications in American Archaeology and Ethnology",,,3,233-250,,,"Ethnography of the Owens Valley Paiute",,33,1933
